strategy,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct
Custom Strategy,2022-04-19 04:00:00,2022-04-22 04:00:00,445.04,426.04,224.69890346935105,-4269.279165917673,-0.04269279165917673
Custom Strategy,2022-07-28 04:00:00,2022-08-26 04:00:00,406.04,405.31,235.76672454458262,-172.1097089175455,-0.001797852428332186
Custom Strategy,2022-11-10 05:00:00,2022-11-22 05:00:00,394.69,399.9,242.11054530179325,1261.3959410223324,0.013200233094327083
Custom Strategy,2022-11-23 05:00:00,2022-12-16 05:00:00,402.42,383.27,240.59442141590156,-4607.383170114525,-0.04758709805675672
Custom Strategy,2023-01-25 05:00:00,2023-02-21 05:00:00,400.35,399.09,230.33002097183112,-290.2158264245081,-0.003147246159610351
Custom Strategy,2023-03-03 05:00:00,2023-03-08 05:00:00,404.19,398.92,227.4237563265991,-1198.523195841175,-0.013038422524060444
Custom Strategy,2023-04-10 04:00:00,2023-08-03 04:00:00,409.61,448.84,221.48845212227948,8688.99197675701,0.09577402895437107
Custom Strategy,2023-11-15 05:00:00,2024-03-26 04:00:00,449.68,518.81,221.0747127970199,15282.89489565797,0.1537315424301724
Custom Strategy,2024-05-14 04:00:00,2024-07-19 04:00:00,523.3,548.99,219.17785542943224,5630.679105982126,0.049092298872539755
Custom Strategy,2024-08-22 04:00:00,2024-09-06 04:00:00,556.22,540.36,216.32888219086692,-3430.9760715471493,-0.028513897378735033
Custom Strategy,2024-09-11 04:00:00,2024-10-31 04:00:00,554.42,568.64,210.84281732379216,2998.184862344322,0.025648425381479722
Custom Strategy,2024-11-06 05:00:00,2024-11-08 05:00:00,591.04,598.19,202.85202294768743,1450.391964075985,0.012097319978343426
Custom Strategy,2024-11-12 05:00:00,2024-11-13 05:00:00,596.9,597.19,203.2904198476749,58.954221755833714,0.00048584352487860495
Custom Strategy,2024-11-20 05:00:00,2024-12-18 05:00:00,590.5,586.28,205.59357464662656,-867.6048850087682,-0.0071464860287891955
Custom Strategy,2025-01-24 05:00:00,2025-02-24 05:00:00,607.97,597.21,198.2587972166788,-2133.26465805147,-0.017698241689557102
Custom Strategy,2025-05-12 04:00:00,2025-06-18 04:00:00,582.99,597.44,203.09462647004707,2934.717352492182,0.024786016912811553
Custom Strategy,2025-06-25 04:00:00,2025-10-10 04:00:00,607.12,653.02,199.8564594120848,9173.411487014688,0.07560284622479901
Custom Strategy,2025-10-17 04:00:00,2025-11-05 05:00:00,664.39,677.58,196.43622740450581,2590.9938394654455,0.01985279730278913
Custom Strategy,2025-11-10 05:00:00,2025-11-17 05:00:00,681.44,665.67,195.32351926030913,-3080.2518987350923,-0.02314216952336242
Custom Strategy,2025-11-28 05:00:00,2025-12-09 05:00:00,683.39,683.04,190.25886692226982,-66.59060342281009,-0.0005121526507559114
Custom Strategy,2025-12-11 05:00:00,2025-12-15 05:00:00,689.17,680.73,188.56656044602516,-1591.5017701644392,-0.012246615493999928
Custom Strategy,2025-12-22 05:00:00,2026-01-02 05:00:00,684.83,683.17,187.43763370825272,-311.1464719557116,-0.0024239592307580926
Custom Strategy,2026-01-06 05:00:00,2026-01-07 05:00:00,691.81,689.58,185.09672918932512,-412.7657060921774,-0.003223428397970404
Custom Strategy,2026-01-08 05:00:00,2026-01-12 05:00:00,689.51,695.16,185.11552046290095,1045.902690615374,0.008194224884338025
Custom Strategy,2026-01-15 05:00:00,2026-01-20 05:00:00,692.24,677.58,185.89637294145123,-2725.2408273216715,-0.021177626256789525
Custom Strategy,2026-01-22 05:00:00,2026-01-23 05:00:00,688.98,689.23,182.82049461184437,45.705123652965995,0.00036285523527537344
Custom Strategy,2026-01-29 05:00:00,2026-02-05 05:00:00,694.04,677.62,181.553468822145,-2981.1079580596124,-0.023658578756267586
Custom Strategy,2026-02-20 05:00:00,2026-02-23 05:00:00,689.43,682.39,178.44344102122318,-1256.2418247894093,-0.010211334000551166
Custom Strategy,2026-02-25 05:00:00,2026-02-27 05:00:00,693.15,685.99,175.67340361894608,-1257.8215699116408,-0.010329654475943051
Custom Strategy,2026-04-21 04:00:00,2026-06-10 04:00:00,704.08,725.43,171.15980875548348,3654.261916929565,0.03032325872059987
Custom Strategy,2026-06-12 04:00:00,2026-06-17 04:00:00,741.75,740.96,167.39394683584817,-132.2412180003157,-0.0010650488709133456
